"address","latitude","longitude","business_name"
"18138 W. Seven Mile Rd.","42.4303016663","-83.2202682495","Church's Chicken"
"14844 Puritan Ave.","42.4090194702","-83.1920089722","Saving Mission Church of God"
"14700 Grand River Ave.","42.3895111084","-83.1897354126","Hands On Car Wash"
"15500 Grand River Ave.","42.3930969238","-83.1986389160","Sunny's Men's Wear"
"19339 Schoolcraft Ave.","42.3861274719","-83.2317047119","Westwood Lounge"
"15065 Grand River Ave.","42.3904838562","-83.1936264038","Universal Life of Hope"
"14551 Greenfield Rd.","42.3950614929","-83.1988220215","Cosmos Coney Island"
"19800 Grand River Ave.","42.4079093933","-83.2363815308","Grandmont Rosedale Development Corporation"
"16611 Schoolcraft Rd.","42.3865165710","-83.2108306885","Detroit Roller Wheels"
"18513 Lahser Rd.","42.4247360229","-83.2585449219","Silent Assembly of God"
"18220 Lahser Rd.","42.4222450256","-83.2578048706","Motor City Blight Busters"
"18602 Fenkell St.","42.4016304016","-83.2242660522","Kidz Kingdom"
"19635 Schoolcraft Ave.","42.3860015869","-83.2355651855","Metro Tire"
"19001 Telegraph Rd.","42.4278297424","-83.2783889771","Detroit Fresh Fish & Seafood"
"19614 Grand River Ave.","42.4078407288","-83.2353057861","Detroit Vegan Soul"
"16005 McNichols Rd.","42.4157943726","-83.2047958374","Domino's Pizza"
"20716 W. Seven Mile Rd.","42.4296340942","-83.2466049194","Dynamo Corned Beef Deli"
"21633 W. Eight Mile Rd.","42.4428787231","-83.2571029663","Friends Cocktail Lounge"
"22001 Fenkell Ave.","42.4002342224","-83.2568740845","Grandy's Coney Island"
"18200 W McNichols Rd.","42.4157257080","-83.2202835083","Great Lakes Burger Bar"
"14307 Greenfield Rd.","42.3920440674","-83.1989288330","Great Wall"
"22345 Grand River Ave.","42.4178009033","-83.2617797852","KFC"
"15317 Dacosta St.","42.4007873535","-83.2608032227","St. Christine"
"22311 W. Eight Mile Rd.","42.4425582886","-83.2618560791","Northland Skating Rink"
"15045 Burt Rd.","42.3987503052","-83.2474060059","Baber Memorial AME"
"22019 Fenkell Ave.","42.4001197815","-83.2573165894","Brightmoor Bible Missionary Church"
"20750 W. Mc Nichols Rd.","42.4153518677","-83.2465362549","St. Christopher St. Paul Episcopal"
"17360 Lahser Rd.","42.4173698425","-83.2572097778","Redford Theatre"
"14450 Ashton Rd.","42.3932838440","-83.2188949585","St. James Lutheran ELCA"
"15025 Fenkell Ave.","42.4013938904","-83.1933517456","Calvary Church of God in Christ"
"23740 W. Seven Mile Rd.","42.4293365479","-83.2744598389","7Tel Liquor Store"
"24699 Grand River Ave.","42.4275054932","-83.2856903076","St. Martin's Episcopal Church"
"19215 Greenview Ave.","42.4309043884","-83.2255325317","Calvary Presbyterian"
"24341 W. Seven Mile Rd.","42.4285545349","-83.2814025879","Bellagio"
"14750 St. Mary Rd.","42.3965110779","-83.2057418823","St. Mary's of Redford"
"13991 Evergreen Rd.","42.3882331848","-83.2373275757","St. Paul Lutheran"
"19322 Grand River Ave,","42.4064788818","-83.2318572998","Beverage One"
"13928 Hubbell Rd.","42.3879089355","-83.1880645752","Caring Temple Baptist"
"13925 Burt Rd.","42.3868446350","-83.2469635010","Cathedral of Faith"
"17320 Rosemont Rd.","42.4176902771","-83.2211380005","St. Sebastian"
"18263 West McNichols","42.4152412415","-83.2212295532","Ace Petroleum"
"20150 W. Seven Mile Rd.","42.4299507141","-83.2404174805","Happy's Pizza"
"20240 Grand River Ave.","42.4097518921","-83.2400360107","Hollywood Coney Island"
"17400 Grand River Ave.","42.3988571167","-83.2130966187","It'z a Wrap & More"
"20853 Grand River Ave.","42.4121513367","-83.2474060059","J's Cafe"
"20225 W. Eight Mile Rd.","42.4434318542","-83.2424850464","JJ Fish & Chicken"
"19015 W.McNichols Rd.","42.4151496887","-83.2283401489","Just A Bit Eclectic"
"17750 Grand River Ave.","42.3999595642","-83.2163009644","KFC"
"15535 McNichols Rd.","42.4159126282","-83.1998291016","Lady Louisa's Place"
"14111 Greenfield Rd.","42.3896141052","-83.1986083984","Big V Party Store"
"19400 Evergreen Rd.","42.4334335327","-83.2381134033","St. Timothy Lutheran Church"
"15170 Archdale St.","42.4008636475","-83.2156295776","Central Baptist Church"
"15050 Greenfield Rd.","42.4002037048","-83.1983032227","Brandon's Beer & Wine"
"15888 Archdale Rd.","42.4079246521","-83.2159805298","St. Timothy United Methodist"
"20800 Grand River Ave.","42.4130287170","-83.2470779419","Christ the King"
"19180 Grand River Ave.","42.4057540894","-83.2301254272","Brut Detroit: Pop-Up Wine Bar"
"14500 Grand River Ave.","42.3885307312","-83.1874008179","Thomas Temple Church of God in Christ"
"22400 Grand River Ave.","42.4185409546","-83.2625961304","Christian Fellowship of Love Baptist Church"
"16776 Lahser Rd.","42.4126892090","-83.2570190430","Redford Church of Christ"
"14625 Greenfield Rd.","42.3960609436","-83.1988754272","Church of God of Prophecy"
"18921 W. Mc Nichols Ave.","42.4151153564","-83.2271881104","Church of the Risen Christ"
"20280 Lyndon St.","42.3942413330","-83.2397384644","Citadel of Praise"
"19800 Pembroke","42.4368553162","-83.2379455566","Corpus Christi Catholic Church"
"14201 Puritan Ave.","42.4089317322","-83.1850967407","Craig Memorial Tabernacle"
"15251 W. Mc Nichols Ave.","42.4158592224","-83.1965942383","Damascus Baptist Church"
"14301 Burt Rd.","42.3908882141","-83.2468490601","Detroit Northwest Seventh-Day Adventist Church"
"19001 Schoolcraft Rd.","42.3861732483","-83.2275314331","Eber Memorial Baptist Church"
"19333 Lahser Rd.","42.4324417114","-83.2588729858","Elim Baptist Church"
"22575 W. Eight Mile Rd.","42.4430160522","-83.2654266357","First Baptist World Changers International Ministries"
"17701 Glendale St.","42.3817977905","-83.2160720825","Gethsemane Apostolic Church"
"22450 Schoolcraft Rd.","42.3866310120","-83.2627334595","God Land Unity"
"14820 Puritan Ave.","42.4090270996","-83.1918716431","God's Way Cathedral Church of God"
"19250 Riverview Rd.","42.4313583374","-83.2750930786","Great Commission Baptist"
"16801 Schoolcraft Rd.","42.3858337402","-83.2119216919","Greater Burnette Baptist"
"23500 W. Seven Mile Rd. Rd.","42.4298553467","-83.2709503174","Greater Grace Temple"
"15120 Grand River Ave.","42.3911209106","-83.1938629150","Greater Marion Chapel Missionary Baptist Church"
"24400 W. Seven Mile Rd.","42.4288253784","-83.2818756104","Harvest Christian Church"
"19400 Evergreen Rd.","42.4334335327","-83.2381134033","Historic St. James Missionary Baptist Church"
"14213 Whitcomb St.","42.3914718628","-83.1968307495","Holy Cross Lutheran Church"
"21500 Schoolcraft Rd. Ave.","42.3862152100","-83.2539825439","Islamic Center Foundation CAB of North America"
"21628 Fenkell Ave.","42.4006385803","-83.2546157837","Islamic Community of Al Salaam"
"14321 W. Mc Nichols Rd.","42.4162635803","-83.1866226196","Jehovah Unity Baptist Church"
"19750 Vaughan St.","42.4358749390","-83.2398910522","Jehovah's Witness - Pembroke"
"19200 Evergreen Rd.","42.4310951233","-83.2382659912","Jones Memorial COGIC"
"19195 Plainview Ave.","42.4304389954","-83.2378692627","Jones Memorial COGIC"
"20118 Schoolcraft Rd.","42.3864936829","-83.2384643555","Joy Temple Church of God"
"22420 Fenkell Ave.","42.4003143311","-83.2620468140","Leland Missionary Baptist Church"
"15940 Puritan Ave.","42.4087142944","-83.2037200928","Lighthouse Cathedral"
"14221 Southfield Fwy.","42.3908157349","-83.2186813354","Macedonia Baptist Church"
"14754 Fenkell Ave.","42.4018173218","-83.1907958984","Macedonia Church of God in Christ"
"20099 Fenkell Ave.","42.4005088806","-83.2383117676","Metropolitan Temple"
"19638 W. Seven Mile Rd.","42.4298934937","-83.2364273071","Michigan Church of God"
"19661 McIntyre St.","42.4342727661","-83.2633743286","Mount Moriah Church of God Holiness"
"14718 Fenkell Ave. St.","42.4019660950","-83.1905975342","Mount Valley Baptist Church"
"19144 Schoolcraft Rd.","42.3866882324","-83.2294235229","New Beginning Christian Church"
"15490 Lahser Rd.","42.4026679993","-83.2568511963","New Christian Liberty Church"
"19721 W. Seven Mile Rd.","42.4293403625","-83.2372360229","Crab House Ribs & Soul Cafe"
"22019 Grand River Ave.","42.4163856506","-83.2581939697","Crazy Joe's Pizza"
"18221 W. Eight Mile Rd.","42.4439239502","-83.2217864990","D Town Fish Chicken & Soul Food"
"17425 Telegraph Rd.","42.4179420471","-83.2776031494","De'Angelo's Soul Food"
"19116 Grand River Ave.","42.4053573608","-83.2290725708","Little Caesars"
"19400 W. Seven Mile Rd.","42.4300651550","-83.2337112427","Little Caesars"
"19440 W. Seven Mile Rd.","42.4299697876","-83.2343521118","Lou's Deli"
"16811 Grand River Ave.","42.3976593018","-83.2112884521","Jamela African Hair Braiding"
"18715 Grand River Ave.","42.4035224915","-83.2258453369","Jan's Hair Connection"
"18509 Grand River Ave.","42.4021568298","-83.2234649658","Mojo's Fish Express"
"19181 Telegraph Rd.","42.4300155640","-83.2785186768","Jane's Beauty Supply"
"17336 Lahser Rd.","42.4171257019","-83.2573394775","Motor City Java & Teahouse"
"14720 Greenfield Ave.","42.3960227966","-83.1984252930","Short Stuff Barber Shop"
"15322 Grand River Ave.","42.3922157288","-83.1964645386","Juno's Wigs & Beauty Supply"
"20001 W. Eight Mile Rd.","42.4435195923","-83.2399368286","Nicky D's"
"16325 Grand River Ave.","42.3962020874","-83.2078399658","Karl's Barbershop"
"19610 W. McNichols","42.4154815674","-83.2353820801","Ken's Barbershop"
"21729 W. Eight Mile Rd.","42.4427909851","-83.2579269409","Nu Wave Fish & Chicken"
"13573 Greenfield Rd.","42.3860168457","-83.1985092163","Kut Em' Up"
"21733 Grand River Ave.","42.4160385132","-83.2571945190","Old Redford Kitchen & Cafe"
"16008 Puritan Ave.","42.4088592529","-83.2046966553","Lavish Styles & Cuts Barber"
"19740 W. Seven Mile Rd.","42.4299049377","-83.2374954224","Olympia Coney Island"
"15550 Grand River Ave.","42.3942375183","-83.1991882324","Lee Beauty Supply"
"22501 W. Eight Mile Rd.","42.4428558350","-83.2655410767","Omega Coney Island"
"19517 W. Seven Mile Rd.","42.4294281006","-83.2349700928","Lifestyles Barbershop"
"18130 Fenkell Ave.","42.4013290405","-83.2190170288","Omega Grill"
"21579 Grand River Ave.","42.4152679443","-83.2552185059","Little Willie's Hair Show"
"18614 Fenkell Ave.","42.4016304016","-83.2242660522","Panda Chinese Restaurant"
"16740 Grand River Ave.","42.3980712891","-83.2106781006","Lucky Beauty"
"18240 W. Seven Mile Rd.","42.4302139282","-83.2213668823","Lucky Nails"
"17700 Grand River Ave.","42.4003753662","-83.2168273926","Popeye's"
"21721 W. Eight Mile Rd.","42.4427909851","-83.2579269409","Magic Nails"
"18340 W. Seven Mile Rd. Rd.","42.4302062988","-83.2226943970","Victory Community Church"
"21530 Grand River Ave.","42.4155349731","-83.2543029785","Tee Shirts Galore & More,"
"19005 Telegraph Rd.","42.4278297424","-83.2783889771","Ray's Pizza & Chicken"
"17615 W McNichols Rd.","42.4153862000","-83.2159957886","Morris' Barber & Beauty Shop,"
"14135 Greenfield Rd.","42.3898963928","-83.1985931396","Rikshaw House"
"20115 W. Eight Mile Rd.","42.4434890747","-83.2409896851","Mouna's Hair Braiding"
"22200 Fenkell Ave.","42.4004440308","-83.2595062256","Scotty Simpson's Fish and Chips"
"19504 W. Seven Mile Rd.","42.4299354553","-83.2347259521","Mr. Clipper's Barbershop"
"20001 Schoolcraft Ave.","42.3858833313","-83.2375335693","Sonny's Hamburgers"
"20958 Grand River Ave.","42.4130973816","-83.2484970093","N'Balou Hair Braiding"
"16400 McNichols Rd.","42.4158172607","-83.2090682983","Spud Headz"
"21752 Grand River Ave.","42.4166526794","-83.2572708130","Nappy Cut Rite Barber and Salon"
"21721 W. Eight Mile Rd.","42.4427909851","-83.2579269409","New Life Nails"
"20190 W. Seven Mile Rd.","42.4295845032","-83.2406768799","Nina's Nails"
"21633 Grand River Ave.","42.4154853821","-83.2559280396","Oriental Nails"
"20924 W. Seven Mile Rd.","42.4296264648","-83.2490844727","Park's Beauty Supply"
"17643 Grand River Ave.","42.3995170593","-83.2159500122","Perfect Blend"
"22020 Fenkell Ave.","42.4003410339","-83.2571182251","Perfectionist Barber & Styles"
"18923 W. Seven Mile Rd.","42.4296112061","-83.2282104492","Player's Den 2nd Generation"
"18424 Grand River Ave.","42.4025154114","-83.2219772339","Robert's Barbershop"
"15234 Grand River Ave.","42.3913459778","-83.1949615479","Ryang Cha Wigs"
"15940 W. McNichols Rd.","42.4160995483","-83.2044372559","Salon Cliché"
"20850 W. Seven Mile Rd.","42.4296493530","-83.2483215332","Salon Secrets"
"19630 W. Seven Mile Rd.","42.4299087524","-83.2362747192","The Shampoo Bowl"
"20129 W. Eight Mile Rd.","42.4434814453","-83.2412567139","Tony Rone's Barbershop"
"23679 W. Seven Mile Rd.","42.4287147522","-83.2742843628","Touba Hair Braiding Salon"
"21460 Grand River Ave.","42.4148559570","-83.2533187866","Trendsetter Hair Designs"
"19335 W. McNichols Rd.","42.4150352478","-83.2328262329","Urban Renaissance Salon"
"19517 W. Seven Mile Rd.","42.4294281006","-83.2349700928","Vintage Lifestyle Barbershop"
"19268 Grand River Ave.","42.4062500000","-83.2314071655","We Rock Brazilian"
"22305 Grand River Ave.","42.4173927307","-83.2615585327","Highway Auto Sales"
"17739 Grand River Ave.","42.3999214172","-83.2170486450","White Castle"
"20412 W. Seven Mile Rd.","42.4297485352","-83.2433929443","West 7 Barbershop"
"23201 W. Eight Mile Rd.","42.4426193237","-83.2719650269","AT&T (Corporate Facility)"
"20354 W. Seven Mile Rd.","42.4297599792","-83.2425994873","Boost Mobile"
"21700 W. Seven Mile Rd.","42.4294967651","-83.2588272095","Boost Mobile"
"15547 Schoolcraft Ave.","42.3867149353","-83.1988906860","Boost Mobile"
"18200 W. Seven Mile Rd.","42.4302597046","-83.2207107544","Boost Mobile"
"18655 W. Eight Mile Rd.","42.4437828064","-83.2271423340","Camtronics Communications"
"21427 Grand River Ave. #240","42.4145736694","-83.2529602051","Cricket Wireless"
"15601 Grand River Ave.","42.3927497864","-83.1997451782","Cricket Wireless"
"21745 W. Eight Mile Rd.","42.4427909851","-83.2579269409","I Pawn"
"14127 Greenfield Rd.","42.3898391724","-83.1985778809","In Touch Wireless Center"
"22041 Grand River Ave.","42.4165611267","-83.2584609985","Metro PCS"
"24150 Grand River Ave.","42.4251861572","-83.2788009644","Metro PCS"
"18288 Grand River Ave.","42.4021186829","-83.2210845947","Subway"
"19127 Telegraph Rd.","42.4300155640","-83.2785186768","Subway"
"20170 W. Seven Mile Rd.","42.4295883179","-83.2404937744","Subway"
"16921 Telegraph Rd.","42.4130668640","-83.2773895264","Sun China"
"18244 W. Seven Mile Rd.","42.4302253723","-83.2214813232","Teenies Deli"
"20351 Grand River Ave.","42.4099540710","-83.2417755127","The Original Wave's Inn"
"20817 W. Seven Mile Rd.","42.4290618896","-83.2476654053","The Real McCoy Southern BBQ"
"22565 W. Eight Mile Rd.","42.4427490234","-83.2660598755","Tim Hortons"
"19833 Evergreen Rd.","42.4361572266","-83.2391891479","Tim Hortons"
"16543 Grand River Ave.","42.3969383240","-83.2095413208","Tubby's Grilled Submarines"
"20325 W. Eight Mile Rd.","42.4434394836","-83.2435607910","Tubby's Sub Shop"
"18516 Schoolcraft Ave.","42.3868103027","-83.2227783203","Yusef's Place #2 (Mojo's)"
"12600 Greenfield Rd.","42.3805770874","-83.1969070435","The Greenfield Trading Post"
"15360 Grand River Ave.","42.3924827576","-83.1969757080","Unique Shoes & Clothing"
"19212 W. McNichols Rd.","42.4155426025","-83.2307739258","Uniquely Yours Inc."
"15510 Greenfield Rd.","42.4048957825","-83.1984634399","VILLA"
"15560 Grand River Ave.","42.3942375183","-83.1991882324","VIP Wear"
"12065 W. Outer Drive","42.3904151917","-83.2557678223","West Outer Drive United Methodist Church"
"18616 Fenkell Ave","42.4010162354","-83.2242584229","2nd Look Hair Salon"
"20321 W. Eight Mile Rd.","42.4434394836","-83.2435607910","A Cut Above Barbershop"
"18222 W McNichols Rd","42.4157333374","-83.2206039429","A-List Salon,"
"13555 Greenfield Rd.","42.3856353760","-83.1984558105","Ace Beauty Supply"
"22023 Grand River Ave.","42.4163856506","-83.2581939697","Addicted Hair Bar & Boutique"
"19208 W. McNichols Rd","42.4155426025","-83.2306213379","Admirations 2 Hair Salon"
"18714 Grand River Ave.","42.4038352966","-83.2259216309","All Prayed Up Hair & Nail Salon"
"18989 Telegraph Rd.","42.4278297424","-83.2783889771","Amora Virgin Hair"
"20344 W. Seven Mile Rd.","42.4297599792","-83.2425994873","Authentic Barbershop"
"16817 Grand River Ave.","42.3976593018","-83.2112884521","Bang'N Blends"
"14303 Greenfield Rd.","42.3920440674","-83.1989288330","BBW Beauty Supply"
"20240 W. Seven Mile Rd.","42.4307556152","-83.2414627075","Beauty Spot"
"21720 Grand River Ave.","42.4164619446","-83.2566909790","Beauty Town Beauty Supply"
"19015 Grand River Ave","42.4044837952","-83.2282562256","Big D Barbershop & Salon"
"21637 W. Eight Mile Rd.","42.4432754517","-83.2552795410","Blackstone Manor Barbershop"
"20980 W. 7Mile Rd.","42.4293708801","-83.2495651245","Borderline Salon"
"15934 W. McNichols Rd.","42.4161071777","-83.2042846680","Brown Sugar Salon"
"14540 Grand River Ave.","42.3887786865","-83.1880035400","Brown's Barber Lounge"
"23841 W. Seven Mile Rd.","42.4287376404","-83.2762527466","Cadillac Beauty Supply"
"18916 Grand River Ave","42.4044380188","-83.2268676758","Chloe Starr Hair Closet"
"15925 W. McNichols Rd.","42.4155998230","-83.2042236328","Craig's Beauty & Barber Supplies"
"19655 Grand River Ave.","42.4076919556","-83.2362976074","Cutz Lounge The Grooming Shop"
"21548 Grand River Ave.","42.4155960083","-83.2545242310","Dally's African Hair Braiding"
"14309 Grand River Ave.","42.3872261047","-83.1850357056","Danny's Nail & Spa"
"14229 Greenfield Rd.","42.3909873962","-83.1987075806","Drahma Hair"
"19717 W. Seven Mile Rd.","42.4293556213","-83.2371520996","Elizabeth's African Braids"
"19300 W. Seven Mile Rd.","42.4300193787","-83.2323303223","Christios Child Care and Academy"
"18940 W. Seven Mile Rd.","42.4301605225","-83.2284851074","Green Tree Tax Service"
"21221 W. Seven Mile Rd.","42.4288673401","-83.2514877319","Holbrook Auto Parts"
"21611 Grand River Ave","42.4153633118","-83.2555160522","Matys Resturant"
"18800 Puritan Ave.","42.4082412720","-83.2250671387","Cooke Elementary School"
"21355 W. Seven Mile Rd.","42.4289245605","-83.2530136108","Davis Preparatory Academy"
"21605 W. Seven Mile Rd.","42.4281883240","-83.2567749023","Detroit Service Learning Academy"
"17045 Grand River Ave.","42.3970794678","-83.2138214111","Edison Elementary School"
"15850 Strathmoor St.","42.4081611633","-83.1869659424","John R King Academy"
"17251 W. McNichols Rd.","42.4154472351","-83.2130889893","Joyland Too"
"21501 W. Seven Mile Rd.","42.4289360046","-83.2550125122","Kristy's Development Center"
"21565 W. Grand River Ave.","42.4152030945","-83.2550582886","Learning Village"
"19000 Grand River Ave","42.4049415588","-83.2278137207","Little Scholars,"
"21355 W Seven Mile Rd.","42.4289245605","-83.2530136108","Metropolitan Academy of Detroit"
"17195 Redford St.","42.4161720276","-83.2602233887","Old Redford Academy Elementary"
"22122 W. McNichols","42.4143447876","-83.2852172852","Old Redford Academy Middle School"
"14341 W McNichols Rd","42.4162521362","-83.1870574951","On Top of the Hill,"
"21556 Grand River Ave.","42.4155960083","-83.2545242310","Praying Angels Child Care"
"15909 W. Mc Nichols Rd.","42.4156341553","-83.2036895752","Toddler Time"
"20507 Fenkell Ave.","42.4003906250","-83.2428665161","Village of Shining Stars"
"20230 W. Seven Mile Rd.","42.4307556152","-83.2414627075","99 Cent Plus Store"
"18445 Grand River Ave.","42.4018554688","-83.2226943970","Dollar Deal Plus"
"18609 W. Seven Mile Rd.","42.4296569824","-83.2256774902","Dollar General"
"21310 W. Grand River Ave.","42.4143562317","-83.2509918213","Dollar Tree"
"20230 W Seven Mile Rd","42.4307556152","-83.2414627075","Evergreen Dollar Store"
"22200 Grand River Ave.","42.4178924561","-83.2596664429","Family Dollar"
"20528 Lahser Rd.","42.4421463013","-83.2579956055","Family Dollar"
"18201 Schoolcraft Rd.","42.3866119385","-83.2186737061","Family Dollar"
"20266 W. Seven Mile Rd.","42.4295654297","-83.2415008545","Family Dollar"
"18245 W. Eight Mile Rd.","42.4440765381","-83.2218399048","Northland Party Store"
"21201 W. Eight Mile Rd.","42.4430999756","-83.2529754639","Super Dollar Center"
"21200 W. Seven Mile Rd.","42.4293365479","-83.2510604858","West Brook Party Store"
"22101 Grand River Ave.","42.4166870117","-83.2589645386","A to Z Automotive Service"
"13620 Evergreen Rd.","42.3857154846","-83.2363586426","A&B Transmission"
"23700 W. Seven Mile Rd.","42.4293365479","-83.2744598389","Daily Cleaners"
"15331 Grand River Ave.","42.3924102783","-83.1979141235","Advanced Auto Parts"
"21511 Grand River Ave.","42.4149894714","-83.2545700073","Al Jamil Auto Sales"
"19645 W. Eight Mile Rd.","42.4435653687","-83.2365951538","Alpha Auto Repair"
"20141 W. Eight Mile Rd.","42.4433670044","-83.2414016724","Auto Outlet"
"22231 Grand River Ave.","42.4170989990","-83.2607498169","Automotive Center Used Cars"
"19850 Grand River Ave.","42.4088058472","-83.2370452881","AutoZone"
"12727 Greenfield Rd.","42.3819274902","-83.1991500854","B & B Universal Distributor Inc."
"18915 Telegraph Rd.","42.4272041321","-83.2783584595","Big Ray's Quick Lube"
"22343 Fenkell Ave.","42.4000129700","-83.2613906860","Bo-Jack's Hand Car Wash"
"13575 Auburn St.","42.3844528198","-83.2344055176","C.E. Pollard Company"
"21331 W. Eight Mile Rd.","42.4431076050","-83.2534179688","Collision Zone"
"12934 Evergreen Rd.","42.3833427429","-83.2359466553","Complete Auto & Truck Repair"
"17203 Telegraph Rd.","42.4160881042","-83.2777633667","D'Angelo's Car Wash & Oil Change"
"19600 W. Seven Mile Rd.","42.4299697876","-83.2359695435","Day Stars Auto"
"14038 Greenfield Rd.","42.3898315430","-83.1977844238","Dealer Auto Service"
"24841 Grand River Ave.","42.4276657104","-83.2867355347","Dearborn Total Automotive"
"12701 Southfield Rd. Building A","42.3801803589","-83.2210311890","Detroit Manufacturing Systems"
"22100 Grand River Ave.","42.4172744751","-83.2585372925","Detroit Tire & Wheel"
"21139 W. Seven Mile Rd.","42.4289627075","-83.2505798340","Discount Collision Center"
"18306 Grand River Ave.","42.4022369385","-83.2213287354","DJ Quick Lube"
"19111 Grand River Ave.","42.4048538208","-83.2294235229","EZ Oil Change"
"20033 Schoolcraft Ave.","42.3859558105","-83.2375717163","Fast Oil & Lube"
"18235 Grand River Ave.","42.4013061523","-83.2207794189","Fast Splash Car Wash"
"20823 W. Seven Mile Rd.","42.4290466309","-83.2479248047","Fast Splash Car Wash"
"19000 Winston Rd.","42.4278221130","-83.2837905884","Westside Bible Church"
"13920 Marlowe Rd.","42.3876342773","-83.1885528564","Word of Truth Church of God"
"17242 W. Mc Nichols Rd.","42.4158668518","-83.2129974365","Amazing Flowers & Events"
"18539 W. Eight Mile Rd.","42.4438209534","-83.2257766724","Anderson Paint Store, LLC"
"23740 Grand River Ave.","42.4237060547","-83.2744750977","Boston Tile & Terrazzo"
"16606 Grand River Ave.","42.3975105286","-83.2102279663","Cross Plumbing and Heating"
